1     0.912703     0.00494014      0.0599999     86.3967
1     0.912703     0.00494014      0.0599999     86.3967
1     0.912703     0.00494014      0.0599999     86.3967
1     0.804848     0.00442626      0.0699999     117.137
1     0.804848     0.00442626      0.0699999     117.137
1     0.688774     0.000992575      0.11     54.3445
1     0.804848     0.00364449      0.0699999     118.262
1     0.827088     0.00477514      0.0599999     107.579
1     0.827088     0.00477514      0.0599999     107.579
1     0.904629     0.0127061      0.0799999     122.932
1     0.904629     0.0127061      0.0799999     122.932
1     0.904629     0.0127061      0.0799999     122.932
1     0.998668     0.0235271      -0.21     1768.97
1     0.97115     0.00342191      0.02     94.4952
1     0.964789     0.00305675      0.0799999     38.2125
1     1     1      -1     0
1     0.881027     0.0141348      -0.08     54.9171
1     0.964789     0.00305675      0.0799999     38.2125
1     0.802356     0.0167457      -0.0100001     29.6417
1     0.802356     0.0167457      -0.0100001     29.6417
