1     0.133333     0      0.18     2.78783
1     0.133333     0      0.18     2.78783
1     0.311111     0      -0.05     3.74056
1     -nan     1      -1     0
1     0.993228     0.0396646      -0.26     4765.08
1     1     1      -1     0
1     0.8307     0.000290696      -0.09     53.8397
1     -nan     1      -1     0
1     0.85999     0.000739037      0.05     25.9017
1     0.888267     0.00181948      0.0599999     24.9379
1     1     1      -1     283.197
1     0.497093     0.000717697      -0.05     17.2474
1     0.497093     0.000717697      -0.05     17.2474
1     0.497093     0.000717697      -0.05     17.2474
