1     -nan     -nan      -1     0
1     -nan     1      -1     0
1     1     0.00706288      -0.52     668.957
1     1     1      -1     0
1     -nan     1      -1     0
1     -nan     1      -1     0
1     0.926829     2.47694e-05      -0.33     20.351
1     -nan     1      -1     0
1     -nan     1      -1     0
1     -nan     1      -1     0
1     0.871264     0.000101361      0.04     11.5385
1     0.869031     0.000323385      0.12     10.5946
1     0.869031     0.000323385      0.12     10.5946
1     1     1      -1     120.582
1     0.388889     0.00011688      -0.31     6.84774
1     0.388889     0.00011688      -0.31     6.84774
1     0.388889     0.00011688      -0.31     6.84774
